filename,product_name,price_default,price_card,price_discount,barcode,discount_amount,id_sku,print_datetime,code,additional_info,color,special_symbols,frame_timestamp,x_min,y_min,x_max,y_max,qr_code_barcode,price1_qr,price2_qr,price3_qr,price4_qr,wholesale_level_1_count,wholesale_level_1_price,wholesale_level_2_count,wholesale_level_2_price,action_price_qr,action_code_qr
track_00054,по цене 2 3 по цене 2 цене 6e3,нет,нет,3.63,,нет,,,,3 по цене 2; по цене 2; тиеннбез; ценн без; от цены; цены; отцены; кСрТЫ; по цене; керТЫ; от цены без; ценыбез,promo,standard,нет,0,0,329,266,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00059,,33.19,нет,30.19,,нет,,,,нет,promo,standard,нет,0,0,243,212,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00063,Mkoro MMoro Mnoro Mncro,,,,,нет,,,,6елxа; 6елха; белка; 6елка; Ммоrо; Ммоro,promo,standard,нет,0,0,258,221,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00067,,нет,нет,15.15,,нет,,,,нет,promo,standard,нет,0,0,161,210,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00075,BKHO BO TORD BNO TORD TORD,нет,нет,219.21,,нет,,,,BO TORD; BNO TORD; BRNO; Tne; TORO; Tnte; Trte; co0; Cp0; (AproNTu); (Apromu; (APrONTod; Tre,promo,standard,нет,0,0,294,244,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00089,3по цене 3поцен З по цене поцене,нет,нет,15.15,,нет,,,,3по цене; З по цене; по цене; ноцен; ценe; цerу; cery; цery; цекы; цexу; цеHH; вев4; цекH; EKH; картЫ; KGP; керты; CEHH; KCP; цен; ксртЫ; CEKH; KaP; 3no,promo,standard; discount_percent,нет,0,0,374,277,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00097,3поцене2 3 поцене2 3 поцене 3поцене 2,32.63,нет,32.32,,нет,,,,3 поцене2; 3 поцене; 3поцене 2; пощцене-; отцены; цены; 3 поцене 2; 6e3; от цены; 3 по цене2; цены без; карты; от цены без; 3 по цене 2; OTL; KаDты,promo,standard,нет,0,0,247,228,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00106,GLLAOE F00a GRLLAOS,,,,,нет,,,,нет,promo,standard,нет,0,0,311,261,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00117,3 поцене2 З поцене2 3поцене 2 3поцене2,63.63,нет,32.63,,нет,,,,3 по цене2; 3 поцене2; 3 по цене 2; отцены; от цены; карты; 3 поцене 2; от цены без; З поцене2; 3поцене 2; 6e3; цены; 3 поене2; 3 пошене2; 3 поцене; цены без; корты; KODT; 3 по цене; 3 пощене2; от цены бе; KOOTЫ,promo,standard; discount_percent,нет,0,0,233,211,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00118,,,,,,нет,,,,нет,promo,standard,нет,0,0,156,157,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00121,,,,,,нет,,,,нет,promo,standard,нет,0,0,172,215,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00122,CoUma Hталoапо LTSCOUma TSCOUNM.,16.16,нет,1.10,38902122611,10%,,,,U2AM; 6е33 (Pасо; 1AS; GCOAA; LTOCOUan.; U2M; M26232(Pec0); TSCOUNa; 43CO; LrscoUnn,promo,discount_percent,нет,0,0,204,215,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00125,,159.59,нет,150.59,,нет,,,,нет,promo,standard,нет,0,0,174,129,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00154,,нет,нет,16.16,,10%,,,,нет,promo,discount_percent,нет,0,0,177,205,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00164,ОБАНСКАЯ КБАНСКАЯ ОЕАНСКАЯ CONНИUA Gea,нет,нет,10.10,,нет,,,,CONНИUA Gea; COПНИA; СONA; СОNЬНИЦА; COTA; еОПSИЦА; ЕOTSHЦA; 6en; (Pr); СОNЬнИЦA; 6ea; СОNЬИЦA; ОБАНСЦАЯ; Po)1L; EONSHAUA; ОYЕАНСЦАЯ; ЮYБАНСЦАЯ; СOПЫHAЦA; ЕОПЫНИЦА; Px)1L; D1L; 91L; BKнO; ВОЛЬНИЦА беЛ; ВОЛЬНИЦА Оел; ВОЛЬНИЦА; 6on; NCл.(Poссия; Nсл.(Pосси)1; Ncn.; wcn.; КY6АНCКАЯ; (PoсCия; (Россия; OCCMA; (оссHя)1L Б2; (РOсCия); Пaт; Пen; OCCMЯ); BK1O; BKO; (POCCMЯ); (POссия); Паусадн; БОЛЬЙИЦА; Палусаде; Палусадь; Пas,promo,standard; discount_percent,нет,0,0,240,248,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00165,GRILLMNE GRILLMINE GRILEWINE GRILLMIN,600.60,нет,1.61,,нет,,,,GL1POlL; 6e1о; GLIPoD; GLIPoo; 66о; GRILLMINIL; Cen; GRILLMN; 1PoUl; бано; GRILLMINI; GRLLMGN; GRILEWINI; (POKO)1L; 6o0; GRILLWINE; (PONO); (POO); GRILLWNE; орр; GRILLLMN; QL(Paoa); (Poco),promo,standard; discount_percent,нет,0,0,298,277,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00174,16TOK NTOKC LTSCO6an LTSCO6aT,114.95,нет,14.14,,нет,,,,косбеоем; 1GTO; N6TO; G338; (PocDa); (Pocca); LETSCO; 62un; SCO; мкосбалов; CSAN; CSAEN; Poxca) 33,promo,standard; discount_percent,нет,0,0,166,236,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00178,SE2E 11C1,421.99,нет,1.99,,нет,,,,нет,promo,standard,нет,0,0,176,262,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00183,3 поце 3поце отцень цень,,,,,нет,,,,291є; 3 поце; от цень; kap; kaр; щень,promo,standard,нет,0,0,175,237,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00208,,нет,нет,15.15,,нет,,,,нет,promo,standard,нет,0,0,183,201,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00214,,229.29,нет,29.29,,нет,,,,нет,promo,standard,нет,0,0,248,316,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00215,КРЫMСКИИ ВоКРЫМСКИИ Bxa TATMCUAH,1339.01,нет,13.39,,нет,,,,TATCUAH; КРЫМСКИИ; oeten; xen; сел; сеn; 2cn; Poccnl; ncn; АПMСUАH; крыискии; (Poccol1; TAПMСUАH; TAПMСUAH; сen; 0O0; с0рогрое; кepоe; cen; (Poccml16; (Poccol1L; AIMCUNH; BxO; TAПCUAH,promo,discount_percent; standard,нет,0,0,360,309,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00248,бжно SAHD МYНДАРИ МYТУНДАРИ,2293.53,нет,1.21,,нет,,,,МУКУНДАРИ; МYКУНДАРИ; НДАРИ; вуюне; me 6en; men6en; &en; Pomena; 6en; блHD; Ртeлa; y (Foco)1L; су (Foc)1L; су(Pocя)1L; cyFoco)1L; cya (Foco) 1L; Poco; ПYУНДАРИ; (F08)1L; ren; cy1; МУУНДАРИ; eren; (F0C0)1L; Peзтeлa; (P08)1L; Perena; TAFH; (Poc); (F0c); cyr; cyz; SHD; МYУНДАРИ; (F0C)1L; 2)1L; FcC,promo,standard,нет,0,0,278,248,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00256,ACTTET ACTTENT,,,,,17%,,,,нет,promo,discount_percent,нет,0,0,255,254,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00291,OEAHCAR OBAHCLAR KBAHCКAR КБАНСLАR,3122.99,нет,22.99,5100120,нет,,,,KOBAHCAR; КБАНСКАА; DОПЬНИВЛ; ВОПЫНИВА6; BОПЫНИЛC; ВОПыЛиа; ВОПЫНИЕА; ВОПЫНИА6; PoO; ссе; КEAНCAR; КБАНСАR; ВОПЬНИЕИ; ВОПЬНИИ; КБАНСЕАR; Pcol; Poccol; ВОПЫНИИ; KBAНCAR; КБAНСАR; ВОПЬНИЕА; ВОПЬНИА; РоС; Poca; PoCc; Р XEPEC; 4007S; 27S; Q7S; JQTS; OKT0; 0K0; ACTS; 5D0; MLTS; MTS; 2TS; 07S; CnHo; КУБАНСКАЯ; nHO; ВОЛЬНИЦА Беп.; ФОЛЬНИЦАБеп; БОЛЬНИЦА Беп; 6en.; ВОЛЬНИЦА Беп; ОЛЬНИЦА БеП; EMнO; УБАНСКАЯ; длпопмооо; сух.(Pоссия) 1L; сух.(Россия) 1L; .(Poccия) 1L; (Pоссия)1L; (POCCяя) 1L; сух.(Pоссяя)1L; GYX.; пмO; (PоссMя); CYL.; (РоCсяя) 1L; КУБАНСКЛЯ; Cyaoe; Cya; ОЛЬНИЦА; беn.; ВОЛЬНИЦА; УБАНСКЛЯ; (РоCCяя) 1L; беп.; BnнO; сух.(Россия); (PосcMя); сyх.; S000; S00; SA00; (Poсcnя); БОЛЬНИЦА; OCCRA); сYI; Bmнo; КУБАНСКAЯ; Bяо; БОЛЬНИЦА беп.; БОЛЬНИЦА 6еп; сух.(Poccия) 1L; сух.(Pосскя) 1L; (POCCн)1L; (POCCя) 1L; (PoCCRя) 1L; cyx.; Beнo; Bяo; (POCCKя) 1L; Cy0; Cyxoe; Cyxo; 2y30; (Poсскя); сух.; (PоCCкя) 1L; сух; Belo; Bao; 6еn.; ПОЛЬНИЦА; (Pосскя),promo,standard; discount_percent,нет,0,0,206,241,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00302,Мо-дра МО-дАРА оонзхри 0(F000011,23.26,нет,0.11,000011,22%,,,,МонзАри; Poe6.; Pе6.; 0y(Foco011L; 0(Fo00011; монзхри,promo,discount_percent,нет,0,0,280,254,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00303,Бено КЕАНСКАЯ КУЕАНСКАЯ КУБАНСЯ,1029.01,нет,1.12,,нет,,,,"БОПЬНИЦА БЕЛ; БОПЬНИША; Sar; бer; Е.но; Еено; КУБАНСЦАЯ; Cy (Poco; Cyt; Cy2; Pocox; Poco; КУБАНСАЯ; с, Po0о) 1L; БОПЬНИЦА; бan; бar; Poc; суе; сy (Poo); сyв; Po 1L; сy2; Po0 1L; Cyв",promo,standard,нет,0,0,218,247,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00316,NEMOLOKOY NEMCLOKOY Про NEMOLOKO,130.24,нет,24.10,,24%,,,,(PO6C)130; (PO6CMH)130; (POCCMH); Поо; yбм; gun; убнека; (POGCMH); Прое; gun enySma; NEMOLOKO Y; (POCCMH)130; gun enySn; gun eySnm; (POCCMM)130; (POGCMH)130,promo,discount_percent,нет,0,0,193,228,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00354,,3122.99,нет,22.99,312299,31%,,,,нет,promo,discount_percent,нет,0,0,265,249,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00355,Вно кф Вано кф доос Вно,3417.33,нет,0.75,341733,нет,,,,Вно кф; Вано кф; Фαеос; XEPEC; ХEPEC; Сза; оааХи; Вжно; хдХи; таеро; M10.75; Ma10.751; Фαос; Фαоc; И0751; ХЕРЕС; М079; саеро; Lpа1p0; Lp01; Сра 1ри; A0 751; М6.751; A675,promo,standard,нет,0,0,278,259,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00356,TAGE3 Созр201 3т3. 7ASO0,1794.99,нет,1.11,,36%,,,,TAGD; TUGEE5; 31E; —03 т3,promo,discount_percent,нет,0,0,283,264,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00366,,3191.93,нет,19.37,3191937,31%,,,,нет,promo,discount_percent,нет,0,0,295,277,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00384,,99.99,нет,9.93,,нет,,,,нет,promo,standard,нет,0,0,133,244,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00410,ETS,нет,нет,20.19,,20%,,,,нет,promo,discount_percent,нет,0,0,288,258,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00419,1OTO 01o O1O TOTO,1999.93,нет,1.01,,нет,,,,COTO,promo,standard,нет,0,0,301,264,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00422,RAZ,367.36,нет,17.94,,36%,,,,нет,promo,discount_percent,нет,0,0,230,277,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00433,WAZZS A1Z2,нет,нет,17.94,,36%,,,,нет,promo,discount_percent,нет,0,0,269,311,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00439,тOsатO 5OTO TOPOTO O50TO,1999.50,нет,19.99,,42%,,,,TOP0TO,promo,discount_percent,нет,0,0,330,283,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00455,о C L 7o,36.36,нет,17.99,,нет,,,,о C; L 7o,promo,discount_percent; standard,нет,0,0,299,281,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00456,,220.19,нет,20.19,,нет,,,,нет,promo,standard,нет,0,0,345,285,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00464,,4219.99,нет,19.99,421999,нет,,,,нет,promo,standard,нет,0,0,357,303,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00465,24S06 Cey 2аяс тя 2A2C Tя,1799.99,нет,2.22,,36%,,,,2аяс тя; 2A2C Tя; 2 TS; FepyеaтS; yaт; wa TS; атS,promo,discount_percent,нет,0,0,313,284,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00468,,2020.19,нет,20.19,202019,нет,,,,нет,promo,standard,нет,0,0,251,279,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00471,D.=0 peneoe Dn-o Daeopeene,7010.10,нет,10.10,01701010,42%,,,,Fes0woa1701010; Fe01701010; es0w0a1701010; рное 10 1010; Onunoen dee; -opeo; no 1o1o; (PC; D*о релно; Dореено; puttpoe; 1o 1oto; 0nnoe1e; Fusrpoe; On0oe01; On0ae1e; FN3*; 1*oрео; to 1o1o; Onnoes; FLN; F470*0 10 1010; F70*01701010; Daeopenenoe; F=*70*0170 1010; On.; FCJ-; PN-3L; PC0,promo,discount_percent,нет,0,0,332,304,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00473,BO BARROS R BO BARROS RL Bяo BARROS RLY феллое вецр,2020.19,нет,20.19,202019,20%,,,,Beо BAAROSRL; Bяко BAЯROS R; BD BAAROS R; cеоесецрое; pесоe cеup; BAЯROS RLI; Веэ; na come; nа сome; (Пoртyraлo) 0.752; (Пopтyran) 0.752; (Moртyraлo)c.75; (Mopтyraso)c.7s; BARROS; BAAROS RLI; (Пoртyгaлю) в. 75; BSROG; Caupoе; фесо; RA1S; ссты; G2R; (Пoртyraлю) в. 75; r12; r1S; сoзтое; ссзтоее; CCCO; (Пoртyraлo) в. 75; SELT; 04S; (Портплю) 0.75; BARROS RLD; Срсо П; CретНо п; CCTOв A; D6CT; вссрт; сс9тж; BARROSFLD; GC9T; ссpть; (Позтуглея)0.T3.; (Пoротля)8.T3; (Подтyтлея)0.T5; (Пoтyтлeя)C.TSL; FLDY; FDI; (Позттлея) о. т; Крсто-ов; срстновприо; Крстtо; сортж; (Подтутлея) 0.Т3; copт; сорт; (Подтуталия) 0.Т3L.; (Подтуталея)в.Т3.; 1r21; FD1; BARROG; LCTEO; (Подтутлея) в. тS; BO BARROS R; BO BARROS RL; Bяo BARROS RLY; феллое вецр; селлoе B; селлое пц; Bo BARROS RU; вncре; NACmE; впсвеи; Вnсве; ACТБИ; (Портуталю) .75L; (Портутал) в.75L; (Портуталю)в.75L; (Пoотyтло).75; BmO BARROS RLY; (Портутзяю) а. 7Я; феллжов; ваерое; аствеи; селллжое пецриое; феллжое; Пцро; (Порттзяю) в. 79; астьеи; (Портталю) в. 79; (Порттаяю) в. 79; 4E71; BARROS RUY; вдпортвеи; B4S; псдтвеии; сдртьеи; мсссе; (Пoртyгалo)0.75; (Портyгало) 0.75L; (Пoртyгло).754; Bmo BARROS RUy; 8mo; (Порттзлю)0.75L; DARROS; реллжое вцрое; феллжое вецрое; портьеи; реллжое беирое; Португаяо)в.75L; портвеи; портьеы; (Портгалю) в.75L; (Портутаяю) в.75L; C7U; Oce; SE1; 10E,promo,discount_percent,нет,0,0,303,268,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00476,Вино хрелпсно Вино хрелпснос Вино хрелено пикерноекW,8250.13,нет,0.99,670302133169,27%,,,,Вино хрелпснос; Вино хрелпсно; Вино хрелено; пикерное Кwу; пикерное кwи; ннкермо; Кпассик Ксил Руб; Классик Кеил Рубм; Кпассик Ксип; КпассикКсил; Классик Ксил Рубн; МаЛодое(ЮΛР)0.; (OΛP)0.; (OΛP); Вино реллснос; малодое; уанодоо; МαЛОдОе(ЮΛР)0.; 75L; песерное кwу; speancнoe; speancnoe; 8u0; Класси. Ксил Рубя; кwу; KwV; лмкерное; αЛОдое(ЮΛР)0.; Ксил Рубм; Классик Ксил Рубм; Кnaсcnк; (1ΛP)0.; манодое; ео613; Вино <репленос; Вино <репненос; nиерное кw; пиерное кw; иерное; Клссик Кенп Руби; Кпоссик Кенп Рубн; Клоссик Кенп Руби; поссик Кенп; Кпассик Кенп Руби; Py6; ино <репленос; малодое(ЮЛР)О.; МаЛедое(ЮЛР)О.; (OAP10.; маледое; анодое; мерное KWV; Пино <репленос; Пино<репленос; поссик Кенп Руби; nиерноеKw; nиернoеKWV; ьтоят; CЛодое(ЮΛР)0.; Кпссик Кенп Рубм; Кпоссик Кенп Руби; Cw5t; ST7U; CT7; МСЛОдОе(ЮЛР)О.; чап; чDTU; наTи; н2T; 27U302 733160; ьшдт; 05T; ь1T; цвти; 47U; Cust; шDтм; L7Ш; LDTU; сз—?; LDYU; Пина креппенос; Пина <репленос; Пина «реппенос; пикерное; пиерное; KWW; Кпоссик Кеип Рубн; Кпоссик Ксип; Кпассик Ксип Руби; Кпассик Кеил Рубн; Кпассик Ксил Рубя; МаЛодое(ЮАР)0.; (IOAP)0.; МаЛодое(ЮАР)О.; МСЛОДОе(ЮАР)О.; пи«ерноекуу; «рспnеное; креалснос; Кпассик Ксил Рубн; пиерноеку; пи«ерное ку; ьоти; КпассикКсип; Py6м; Сэс7; CU0; CTO; C70302133180; рть; C70302133160; оти; Вина «реппеное; Вина «реппенос; Кпассик Кеип Руби; Кпссик Кеип Рубн; Классик Кеип Руби; Вина «репленос; Классик Кеип Р; KnассихKеиnP; (OAP)0.; ианодое; иалодое; шСЛОДОе(ЮАР)0.; «реапснос; Пмна; Класськ Кеип Руби; nиерноекWу; nиерноекw; иСЛОДОе(ЮАР)О.; Классих Кеип Рубм; CaC1; МСЛОДОе(ЮАР)0.; C1a; Cta; DT4; GT4; 7U302133160; CCT; 005O5; LT8; LD74; царты; 029013-029в*; 5427T00505; L7S; 1аDт4; арты; (W); Г005о5; пиаерное; неерное; KWN; Классия Ксип Рубм; Ксил Руб; Классия Ксил Руб; Класси. Ксил Рубм; Классмя; n3cCMR; МОлОДое(ЮАР)0.; МОладОе(ЮАР)0.; (OAP)0; пеалсмое; МолОдос; онодос; ОЛОДОС(ЮАР)О.; кесрнос; реллсное; члеллсное; П-0; П-О; Рyбм; Ксип; n3ccM; пкасрнос; пкесрнос; ОЛОДОС(ЮАР)0.; Рyбm; Классия; Классив; APO.; цолодос; w0101010; ати; W01000010; оъти; орти; W01000; Ш0Щ,promo,discount_percent,нет,0,0,311,292,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00479,OBARROS Taemy wO BARROS Tamy BwMO BARROS Taemy крепленое ликедное,7000.10,нет,0.00,70001000010,36%,,,,"BинO BARROS Tawm; BиHO BARROS Taw; крепленое ликернсе; креппеное; pennehoe; оыд. портейн; BARROS Tawny; аьд. портейн; аыд. портейн; оыд. портьейн; HNO; (Португалия) 0. 751; Португалия)0.751; (Португали) 0.751; лнернсе; Tawny; Вино; реппеное; лиеернсе; портьейн; ь4.; Португалия) 0.751; портейн; цьд.; оьд.; C1G; (Португали); GTLOW; CTLOW; GTOW; 6e 0p; 6e0p1; C30TЫ; 47O3; E307Ы; оD1; OME; ор1ь; *25014; омнрощ; 9T0; 6 орть; е5ои; BuнO BARROS TaWmy; ино BARROS; BuHo BARROS Tawmy; крепленое лиерное; крепленое ливерное; репnеное; ниаернсе; оыд.портейн; оьд. портьейн; Португалия); BARROS Tawy; (Португаля)0.751; лияернсе; HOO; портсин; «репленое; крепленое; лиядрнсе; Сeодти; 1ортугаля) 0.751; оьд-; CTLD; CTLOM; CT LOM; (Португаля) 0.751; 6U0; Leодт; C.10; Le oдти; оpi6; Детнсоо; оpn; LDIM; C01010623; ЕМ0; Bино BARRO5 Tawп; 3ино BARRO5; BинO BARRO5; крепеиое пиернсе; penehoo; ьд.портиеин; ыд.портией; dд.портие; портвсйи; 3ино BARRO5 Tawт; (Португалия) 0. 75L; аьа.; Португалия)о.; (Португалия)0. 75L; пивернсе; BARROSTawm; BARROSTawmY; ретеное; портсйи; крепеное писернсе; крепеное пиерное; аыа.; EECMч; 07SL; (Поргугалия); nортuсёи; nортuceи; CUNO; аь.; CT UON; CT UO; CTUOA; 0.7SL; 75L; 2C1; 2C14; Lea esm; 6g16; 6g1ь; BwMO BARROS Taemy; wO BARROS Tamy; OBARROS Taemy; крепленое ликедное; enленoе; ликерное; выл, портиейи; внл. портиейн; портиейи; внл портиейи; портисйн; омл; оргугали)0.751; (Поргугали)0. 751; (Поргугалия) О. 751; (Поргугали) 0. 751; OARROS; Taeny; Лякеоноо; ВиЖо; Ляконоо; крллснос; колкеноо; оргуга)0.751; пмл; пмл.; (Поргугал) 0.751; (Поргугалис); E70001000010; W000000; BunO BARROS Tawny; креппеное ликерное; bennehoe; ниsепнсе; шыд. портейн; ьа.прртейн; иHO; аьма норлсеи; (Португалкя) 0. 751; (Португалкя) 0.751; (Пoрryгaлк)0.75L; BARROSTawy; Tavny; Виио; лиеермсе; оеппеное; портсйн; лиясрмсе; Португалкя)0.75L; ости,; аьд.; (Португалкя)0. 751; (Португалю); GTLOV; GTLOU; ЬOтu; K7081117; Сис; L6T; оети; оOIM; LOIM; LON; UOin; ъжли",promo,discount_percent,нет,0,0,294,264,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00482,C11 CU1,29.99,нет,21.05,,нет,,,,нет,promo,standard,нет,0,0,160,266,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00483,ьтети ьети LeаTи CaST,29.99,нет,0.99,5323700595,нет,,,,"ьести; етати,; юшид",promo,standard,нет,0,0,134,248,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00509,DHO BARROS Tany DHo BARROSTany BARGOS preoe,1529.99,нет,7.99,,36%,,,,"L y; DHO BARROS Tany; DHo BARROSTany; «pnеoe; nwaD; nарНOС; BARROSTaeny; ""1-451; [Пpryran)0.75L; [Пpryran) 0.75L; 7SL; (Пbpryгanoa) 0. 75L; пеаркос; Taeny; Dно; 27е6O2; паркос; ПарноС; ТOTTеHH; pneoe; pene; Q.7SL; ртугалю); тTеHH; тTеN; . 7SL; (Пьpryгan); (Пьprytanю)",promo,discount_percent,нет,0,0,306,281,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
track_00511,Вм-о «р Bм=O рнoеKWу кwу,1529.99,нет,0.10,,27%,,,,Вм-о «р; sнKспuOC; Мисриос; KWW; Клоссия Ксют Руби; 13CCMNKC0; Ксют Рубм; Knассик; МОЛОДОC(КАР)0.; О1OДOC(КCAP)0; (KCAP)O.; каладое; Моладос; KОЛОДОС(КСАP)0.; нириос; CHOC; 75L; сно; Лм-О; Кст Рубю; кwV; пассия; Мириос; O1OДOC(КCAP)0.; Ксm Рубм; Рубм; KCn; Kn3ссня; Кnассия; (CAP)O.; (CAP)0.; маладос; коладос; 7T30; 3700 T230; 3700T230; 370T30,promo,discount_percent,нет,0,0,309,278,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет,нет
