Категория,Ссылка на товар,Полное название,Бренд,Тип товара,Название у поставщика,Состав,Назначение,Описание
Для пушистых гурманов,https://lenta.com/product/korm-dkoshek-naturalnye-recepty-tushenaya-govyadina-s-tomatami-pauch-rossiya-75g-568463/,"Корм влажный для взрослых кошек ГУРМЭ Натуральные рецепты, тушеная говядина с томатами, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты, овощи(томаты и пастернак), минеральные вещества, загустители (ингредиенты натурального происхождения), сахара, продукты переработкирастительного сырья, витамины.",,"Мясо и мясные ингредиенты (включая говядину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты, овощи(томаты и пастернак), минеральные вещества, загустители (ингредиенты натурального происхождения), сахара, продукты переработкирастительного сырья, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dkoshek-zhele-de-lyuks-s-lososem-rossiya-75g-679455/,"Корм влажный для взрослых кошек ГУРМЭ Желе Де-Люкс, с лососем в роскошном желе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), аминокислоты, загустители,минеральные вещества, сахара, продукты переработки растительного сырья, витамины, ароматизатор лосось.",,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), аминокислоты, загустители,минеральные вещества, сахара, продукты переработки растительного сырья, витамины, ароматизатор лосось."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-nezhnoe-file-s-yagnenkom-v-souse-pauch-rossiya-75g-611242/,"Корм влажный для взрослых кошек ГУРМЭ Перл Ягненок в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая ягненка), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины.",,"Мясо и мясные ингредиенты (включая ягненка), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-sous-de-lyuks-s-kuricejj-v-roskoshnom-souse-pauch-rossiya-75g-611249/,"Корм влажный для взрослых кошек ГУРМЭ Перл Соус Де-люкс Курица в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты, минеральныевещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор курицы.",,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты, минеральныевещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор курицы."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-zhele-de-lyuks-s-kuricejj-pauch-rossiya-75g-679454/,"Корм влажный для взрослых кошек ГУРМЭ Желе Де-Люкс, с курицей в роскошном желе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, аминокислоты, рыба и продукты ее переработки,загустители, минеральные вещества, сахара, продукты переработки растительного сырья, витамины, ароматизатор курица.",,"Мясо и мясные ингредиенты (включая курицу), экстракты растительного белка, аминокислоты, рыба и продукты ее переработки,загустители, минеральные вещества, сахара, продукты переработки растительного сырья, витамины, ароматизатор курица."
Для пушистых гурманов,https://lenta.com/product/korm-dkoshek-naturalnye-recepty-losos-gril-s-zelenojj-fasolyu-pauch-rossiya-75g-568661/,"Корм влажный для взрослых кошек ГУРМЭ Натуральные рецепты, лосось-гриль с зеленой фасолью, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Рыба и продукты ее переработки (включая лосось), экстракты растительного белка, мясо и мясные ингредиенты, аминокислоты, овощи(зеленая фасоль и томаты), минеральные вещества, загустители (ингредиенты натурального происхождения), продукты переработкирастительного сырья, сахара, витамины.",,"Рыба и продукты ее переработки (включая лосось), экстракты растительного белка, мясо и мясные ингредиенты, аминокислоты, овощи(зеленая фасоль и томаты), минеральные вещества, загустители (ингредиенты натурального происхождения), продукты переработкирастительного сырья, сахара, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-nezhnoe-file-s-indejjkojj-v-souse-pauch-rossiya-75g-611243/,"Корм влажный для взрослых кошек ГУРМЭ Перл Индейка в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая индейку), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины.",,"Мясо и мясные ингредиенты (включая индейку), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-perle-krevetka-i-losos-v-souse-75g-642233-rossiya-75g-642065/,"Корм влажный для взрослых кошек ГУРМЭ Перл Морской Дуэт Креветка и лосось в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), моллюски и ракообразные(креветки), минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины.",,"Мясо и мясные ингредиенты, экстракты растительного белка, рыба и продукты ее переработки (лосось), моллюски и ракообразные(креветки), минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-nezhnoe-file-so-vkusom-krolika-v-souse-pauch-rossiya-75g-611247/,"Корм влажный для взрослых кошек ГУРМЭ Перл Кролик в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая кролика), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины.",,"Мясо и мясные ингредиенты (включая кролика), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, сахара, загустители, витамины."
Для пушистых гурманов,https://lenta.com/product/korm-dlya-koshek-perl-sous-de-lyuks-s-telyatinojj-v-roskoshnom-souse-pauch-rossiya-75g-611251/,"Корм влажный для взрослых кошек ГУРМЭ Перл Соус Де-люкс Телятина в соусе, 75г купить со скидкой до 5% в магазине Лента | Москва, Санкт-Петербург, Россия",ГУРМЭ,,ГУРМЭ,"Мясо и мясные ингредиенты (включая телятину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор говядины.",,"Мясо и мясные ингредиенты (включая телятину), экстракты растительного белка, рыба и продукты ее переработки, аминокислоты,минеральные вещества, загустители, продукты переработки растительного сырья, сахара, витамины, ароматизатор говядины."
"Дача, спорт, туризм",https://lenta.com/product/rastenie-iskusstvennoe-georgin-47sm-ml23208-kitajj-726533/,"Растение искусственное GIARDINO CLUB Георгин h=47см, Арт. ML23208 купить со скидкой до 24% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,100% полиэтилен,GIARDINO CLUB,100% полиэтилен
"Дача, спорт, туризм",https://lenta.com/product/sadovoe-ograzhdenie-romb-60h22sm-rossiya-708005/,"Ограждение садовое GIARDINO CLUB Ромб 60х22см купить со скидкой до 61% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,Полипропилен 100%.,GIARDINO CLUB,Полипропилен 100%.
"Дача, спорт, туризм",https://lenta.com/product/taburet-32x45sm-lf20240620-kitajj-726942/,"Табурет GIARDINO CLUB 32x45см, Арт. LF20240620 купить со скидкой до 44% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,100% полипропилен,GIARDINO CLUB,100% полипропилен
"Дача, спорт, туризм",https://lenta.com/product/iskusstvennoe-rastenie-vetka-roz-ch01516734-kitajj-667741/,"Растение искусственное GIARDINO CLUB Ветка роз, Арт. CH01516734 купить со скидкой до 26% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,"полиэстер, полиэтилен, железо.",GIARDINO CLUB,"полиэстер, полиэтилен, железо."
"Дача, спорт, туризм",https://lenta.com/product/vilka-dbarbekyu-hd41053-2-kitajj-708484/,"Вилка для барбекю GIARDINO CLUB, Арт. HD41053-2 купить со скидкой до 47% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,"Нержавеющая сталь, ручка PP",GIARDINO CLUB,"Нержавеющая сталь, ручка PP"
"Дача, спорт, туризм",https://lenta.com/product/plita-gazovaya-mobile-turists-pezopodzhigom-pod-bytovojj-gazballon-mg-9-kitajj-712913/,"Плита газовая туристическая FORESTER Mobile с пьезоподжигом, под бытовой газовый баллон, Арт. MG-9 купить со скидкой до 21% в магазине Лента | Москва, Санкт-Петербург, Россия",FORESTER,FORESTER,FORESTER,"плита – сталь, пластик, медь, алюминий; переходник – сталь, медь",FORESTER,"плита – сталь, пластик, медь, алюминий; переходник – сталь, медь"
"Дача, спорт, туризм",https://lenta.com/product/matras-dplavaniya-kaktus-169h155sm-33145-kitajj-726646/,"Матрас для плавания ACTIWELL Кактус 169х155см, Арт. 33145 купить со скидкой до 41% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,ПВХ,ACTIWELL,ПВХ
"Дача, спорт, туризм",https://lenta.com/product/matras-dplavaniya-ananas-180h90sm-33161-kitajj-726828/,"Матрас для плавания ACTIWELL Ананас 180х90см, Арт. 33161 купить со скидкой до 40% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,ПВХ,ACTIWELL,ПВХ
"Дача, спорт, туризм",https://lenta.com/product/germomeshok-vodonepronicaemyjj-20l-23h63sm-pvh-bxzrst001-kitajj-728685/,"Гермомешок водонепроницаемый ACTIWELL 23х63см 20л, Арт. BXZRST001 купить со скидкой до 49% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,ПВХ,ACTIWELL,ПВХ
"Дача, спорт, туризм",https://lenta.com/product/kompas-turisticheskijj-6-v-1-109h45h26sm-bxzrst018-kitajj-728829/,"Компас туристический ACTIWELL 6в1 10,9х4,5х2,6см, Арт. BXZRST018 купить со скидкой до 43% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,АБС-пластик,ACTIWELL,АБС-пластик
"Дача, спорт, туризм",https://lenta.com/product/kover-decor-metallik-1800h600h8mm-temno-seryjj-rossiya-735471/,"Коврик ACTIWELL Decor Металлик 180х60х0,8см, темно-серый купить со скидкой до 44% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,Сшитый пенополиэтилен,ACTIWELL,Сшитый пенополиэтилен
"Дача, спорт, туризм",https://lenta.com/product/termokruzhka-iz-nerzhaveyushchejj-stali-hd-g500l-kitajj-500ml-739298/,"Термокружка HITT 500мл, нержавеющая сталь, Арт. HD-G500L купить со скидкой до 60% в магазине Лента | Москва, Санкт-Петербург, Россия",HITT,HITT,HITT,сталь коррозионностойкая,HITT,сталь коррозионностойкая
"Дача, спорт, туризм",https://lenta.com/product/velosiped-journey-24-dyujjma-alyumrama-21-skor-v-assort-jrn24al-u-kitajj-670591/,"Велосипед ACTIWELL Journey, 24"" 21 скорость, в ассортименте, Арт. JRN24AL-U купить со скидкой до 49% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"Сталь, алюминий, полипропилен, пвх, резина, бутилкаучук",ACTIWELL,"Сталь, алюминий, полипропилен, пвх, резина, бутилкаучук"
"Дача, спорт, туризм",https://lenta.com/product/zhilet-dplavaniya-naduvnojj-crab-51h46sm-dino04-kitajj-675499/,"Жилет для плавания надувной ACTIWELL Crab 51х46см, Арт. DINO04 купить со скидкой до 48% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"ПВХ, полиоксиметилен",ACTIWELL,"ПВХ, полиоксиметилен"
"Дача, спорт, туризм",https://lenta.com/product/shampur-ploskijj-s-derevyan-ruchkojj-111766-rossiya-1sht-678980/,"Шампур GIARDINO CLUB плоский с деревянной ручкой, Арт. 111766 купить со скидкой до 40% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,"нержавеющая сталь, дерево",GIARDINO CLUB,"нержавеющая сталь, дерево"
"Дача, спорт, туризм",https://lenta.com/product/matras-dlya-plavaniya-183h76sm-44013-44013-kitajj-698802/,"Матрас для плавания BESTWAY 183х76см, Арт. 44013 купить со скидкой до 28% в магазине Лента | Москва, Санкт-Петербург, Россия",BESTWAY,BESTWAY,BESTWAY,ПВХ,BESTWAY,ПВХ
"Дача, спорт, туризм",https://lenta.com/product/fonarik-velosipednyjj-5-diodov-3-rezhima-10h7h3sm-gb-lt917-kitajj-703124/,"Фонарик велосипедный ACTIWELL 5 диодов 3 режима 10х7х3см, Арт. GB-LT917 купить со скидкой до 32% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"АБС-пластик, поликарбонат.",ACTIWELL,"АБС-пластик, поликарбонат."
"Дача, спорт, туризм",https://lenta.com/product/payalnaya-lampa-portativnaya-202x67h38sm-gb-lt909-kitajj-703130/,"Газовая горелка портативная ACTIWELL 20,2x6,7х3,8см, Арт. GB-LT909 купить со скидкой до 20% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"нержавеющая сталь, алюминий, цинк, латунь, АБС-пластик",ACTIWELL,"нержавеющая сталь, алюминий, цинк, латунь, АБС-пластик"
"Дача, спорт, туризм",https://lenta.com/product/nozh-turisticheskijj-so-svistkom-v-chehle-175h25h1-sm-tc2307167-kitajj-703648/,"Нож туристический ACTIWELL 17,5х2,5х1см со свистком, в чехле, Арт. TC2307167 купить со скидкой до 24% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"Нержавеющая сталь марки 440С, АБС-пластик.",ACTIWELL,"Нержавеющая сталь марки 440С, АБС-пластик."
"Дача, спорт, туризм",https://lenta.com/product/matras-dplavaniya-morozhenoe-181h86h23sm-81705-kitajj-703714/,"Матрас для плавания ACTIWELL AQUA Мороженое 181х86х23см, Арт. 81705 купить со скидкой до 52% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL AQUA,ACTIWELL AQUA,ACTIWELL AQUA,ПВХ,ACTIWELL AQUA,ПВХ
"Дача, спорт, туризм",https://lenta.com/product/figura-sadovaya-rebjnok-s-fonarem-255h165h43-sm-dc238181-kitajj-704559/,"Фигура садовая GIARDINO CLUB Ребенок с фонарем 25,5х16,5х43см, Арт. DC238181 купить со скидкой до 25% в магазине Лента | Москва, Санкт-Петербург, Россия",GIARDINO CLUB,GIARDINO CLUB,GIARDINO CLUB,магнезия,GIARDINO CLUB,магнезия
"Дача, спорт, туризм",https://lenta.com/product/meshok-spalnyjj-180x75sm-act180-kitajj-603235/,"Спальный мешок ACTIWELL 180x75см, Арт ACT180 купить со скидкой до 39% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"верх – 100 % полиэстер, подкладка – 100 % полиэстер, наполнитель – 100 % полиэстер, 400 г/м2.",ACTIWELL,"верх – 100 % полиэстер, подкладка – 100 % полиэстер, наполнитель – 100 % полиэстер, 400 г/м2."
"Дача, спорт, туризм",https://lenta.com/product/nozh-skladnojj-s-klipsojj-205sm-oec-5-kitajj-635436/,"Нож складной универсальный FORESTER Mobile 20,5см, с клипсой, Арт. OEC-5 купить со скидкой до 36% в магазине Лента | Москва, Санкт-Петербург, Россия",FORESTER,FORESTER,FORESTER,"лезвие – 100% нержавеющая сталь, ручка – нержавеющая сталь, карбоновое волокно",FORESTER,"лезвие – 100% нержавеющая сталь, ручка – нержавеющая сталь, карбоновое волокно"
"Дача, спорт, туризм",https://lenta.com/product/nozh-turist-ckladn-ex-135-g10-325135325136-kitajj-528767/,"Нож туристический складной ECOS EX-135 G10, Арт. 325135/325136 купить со скидкой до 26% в магазине Лента | Москва, Санкт-Петербург, Россия",ECOS,ECOS,ECOS,"Универсальный туристический складной нож ECOS EX-135 G10 незаменим в путешествии. Надежный и неприхотливый в обслуживании, имеет конструкцию, включающую замок лайнер-лок, съемную клипсу. Шпенек открытия ножа удобен для левшей и правшей. Темляк можно закрепить за нижнюю планку соединения ручек ножа. Клинок надежно крепится к основанию и дает возможность регулировки. Материал рукоятки прочный и ударостойкий, хорошо переносит влагу, отличается повышенной стойкостью к огню. Текстурированная, шероховатая на ощупь поверхность, полученная благодаря обработке пескоструем, помогает легко контролировать инструмент и уверенно удерживать его в руке. Материалы: лезвие – марка стали 440 (7CR17), рукоятка – G10. Общая длина ножа – 19,4см, длина лезвия – 8,2см. В комплекте идет нейлоновый чехол.",ECOS,"Универсальный туристический складной нож ECOS EX-135 G10 незаменим в путешествии. Надежный и неприхотливый в обслуживании, имеет конструкцию, включающую замок лайнер-лок, съемную клипсу. Шпенек открытия ножа удобен для левшей и правшей. Темляк можно закрепить за нижнюю планку соединения ручек ножа. Клинок надежно крепится к основанию и дает возможность регулировки. Материал рукоятки прочный и ударостойкий, хорошо переносит влагу, отличается повышенной стойкостью к огню. Текстурированная, шероховатая на ощупь поверхность, полученная благодаря обработке пескоструем, помогает легко контролировать инструмент и уверенно удерживать его в руке. Материалы: лезвие – марка стали 440 (7CR17), рукоятка – G10. Общая длина ножа – 19,4см, длина лезвия – 8,2см. В комплекте идет нейлоновый чехол."
"Дача, спорт, туризм",https://lenta.com/product/velosiped-junior20dyujjm-alyumrama6-skor-v-assort-jun20st-u-kitajj-529784/,"Велосипед горный ACTIWELL Junior 20"" 6 скоростей, в ассортименте, Арт. JUN20ST-U купить со скидкой до 46% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,,ACTIWELL,"Горный велосипед ACTIWELL Junior 20"" с рамой из алюминия и переключателем Shimano Tourney имеет 6скоростей. Максимальный вес пользователя – 50кг, высота сиденья – 52–67см, универсальная посадка. Комплектация товара может отличаться от представленной на фотографии (крылья, багажник, оттенки, деколи). По имеющимся вопросам просьба обращаться к продавцу до приобретения товара.",ACTIWELL,"Горный велосипед ACTIWELL Junior 20"" с рамой из алюминия и переключателем Shimano Tourney имеет 6скоростей. Максимальный вес пользователя – 50кг, высота сиденья – 52–67см, универсальная посадка. Комплектация товара может отличаться от представленной на фотографии (крылья, багажник, оттенки, деколи). По имеющимся вопросам просьба обращаться к продавцу до приобретения товара."
"Дача, спорт, туризм",https://lenta.com/product/spinning-rybolovnyjj-teleskopicheskijj-210sm-5-sekcijj-fsh-05-kitajj-531261/,"Спиннинг рыболовный ACTIWELL 210см, 5 секций, Арт. FSH-05 купить со скидкой до 40% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,"Рыболовный телескопический спиннинг ACTIWELL в длину 2,1м и имеет 5 секций. Благодаря крепкой конструкции прослужит долго и эффективно.",ACTIWELL,"Рыболовный телескопический спиннинг ACTIWELL в длину 2,1м и имеет 5 секций. Благодаря крепкой конструкции прослужит долго и эффективно."
"Дача, спорт, туризм",https://lenta.com/product/kamera-dkolesa-26dyujjmh1751952125-bik-22-kitajj-531423/,"Камера для колеса ACTIWELL 26, 1,75/1,95/2,125, Арт. BIK-22 купить со скидкой до 28% в магазине Лента | Москва, Санкт-Петербург, Россия",ACTIWELL,ACTIWELL,ACTIWELL,Крепкая и надежная бутиловая камера для колеса диаметром 26 дюйма ACTIWELL имеет диаметр 66см.,ACTIWELL,Крепкая и надежная бутиловая камера для колеса диаметром 26 дюйма ACTIWELL имеет диаметр 66см.
